tweet,Mind reading,Labelling,Fortune telling,Overgeneralising,Emotional Reasoning,Personalising,Shoulds and Musts,words count,polarity,subjectivity,Depressed
me feeling worthless while scrolling through instagram because am not pretty or skinny and have never dated anyone,0.524,0.515,0.526,0.527,0.629,0.491,0.682,18,-0.4625,0.95,1
getting angry with myself after leaving a therapy session because am so screwed up because of what others have done,0.372,0.614,0.555,0.395,0.291,0.428,0.63,20,-0.5,1.0,1
laying in bed pleading to a god who may not even hear me as i struggle with thoughts of suicide,0.62,0.81,0.559,0.654,0.512,0.645,0.769,20,0.0,0.0,1
letting people walk out of my life because i know they would be happier without me,0.501,0.784,0.577,0.675,0.621,0.611,0.661,16,0.0,0.0,1
taking a blade to my skin just to have some sort of evidence of the pain i hold locked up inside,0.658,0.887,0.73,0.637,0.651,0.698,0.716,21,0.0,0.0,1
um like um like sigh like a complete lack of creativeness or inspiration,0.543,0.427,0.556,0.404,0.483,0.631,0.753,13,0.1,0.4,1
i am invisible no one would notice or care if i was not around anymore,0.594,0.522,0.647,0.43,0.687,0.661,0.595,15,0.0,0.0,1
the tag is so important if you know someone who struggles w depression you wanna understand better plz read,0.631,0.726,0.803,0.748,0.535,0.601,0.689,19,0.45,0.75,1
7 things people with depression want you to know this a lot worse was told nothing left,0.542,0.663,0.573,0.585,0.531,0.565,0.711,17,-0.2,0.3,1
cracking jokes in attempt to reroute people s attention to my defense mechanism rather than what i am defending,0.497,0.819,0.478,0.681,0.619,0.802,0.752,19,0.0,0.0,1
not myself so when i reach out for help am over reacting over thinking over complicating,0.464,0.578,0.612,0.54,0.561,0.653,0.513,16,0.0,0.0,1
hey guys are gr8 trends think we could spread trends 2 include more people,0.916,1,0.836,0.854,0.808,0.714,0.831,14,0.5,0.5,1
not being able to sleep when i need to not being able to wake up when i need to existential limbo,0.598,0.69,0.61,0.657,0.378,0.679,0.612,21,0.5,0.625,1
me telling my friends am praying for death as a joke because i am not brave enough to do it myself,0.463,0.736,0.547,0.624,0.465,0.503,0.74,21,-0.2,0.75,1
sun trying to break dark clouds in the sky but even on the darkest nights a light still illuminates the sky,0.749,0.827,0.789,0.758,0.731,0.779,0.741,21,0.125,0.55,1
staying in bed at all times because have lost all motivation to do anything,0.568,0.643,0.471,0.604,0.325,0.605,0.703,14,0.0,0.0,1
the constant irritability that i take out on others and irrational thoughts that cycle around my brain,0.465,0.489,0.556,0.415,0.299,0.579,0.5,17,0.0,0.3333333333333333,1
trying to make everyone around me happy when i feel nothing inside,0.626,0.75,0.599,0.701,0.716,0.713,0.72,12,0.8,1.0,1
the 27 unanswered messages i can not find the motivation to reply to,0.701,0.68,0.661,0.665,0.713,0.7,0.798,13,-0.1,0.2,1
simultaneously missing my friends but being too exhausted to interact with them,0.407,0.61,0.594,0.528,0.549,0.558,0.652,12,-0.30000000000000004,0.375,1
the phone calls home at least twice a week because i can feel my body shutting down,0.512,0.763,0.686,0.611,0.564,0.555,0.699,17,-0.2277777777777778,0.34444444444444444,1
being joking and happy with someone one minute and then saying something stupid making me hate my existence,0.494,0.586,0.344,0.739,0.536,0.667,0.767,18,-0.26666666666666666,0.9666666666666667,1
smiling and acting all happy go lucky just so people convinced that i am happy,0.706,0.767,0.523,0.908,0.668,0.64,0.759,15,0.48333333333333334,0.7083333333333334,1
check your thyroid lifetime of depression started meds in nov every sign of depression gone see your endo doc,0.777,0.892,0.815,0.766,0.778,0.717,0.853,19,0.0,0.0,1
wanting to socialize and then telling the person i do not want to see them cause i feel like a burden,0.449,0.59,0.655,0.597,0.532,0.659,0.58,21,0.0,0.0,1
me joking about death on an hourly basis,0.793,0.898,0.738,0.676,0.817,0.719,0.742,8,0.0,0.0,1
i was online when the tag was trending but i got busy and decided not to do it so ig will do it now,0.672,0.882,0.688,0.646,0.632,0.642,0.706,24,0.1,0.3,1
staying up at night until the point of exhaustion because i cant bear to lie awake with my thoughts,0.638,0.833,0.655,0.67,0.407,0.537,0.64,19,0.0,0.0,1
am being lazy or unproductive or unmotivated,0.452,0.414,0.618,0.445,0.561,0.642,0.706,7,-0.25,1.0,1
twitter users share their emotional stories correct link,0.859,0.922,0.806,0.796,0.8,0.685,0.744,8,0.0,0.65,1
constant confusion bc at the end of the day you are not even sure what is really wrong confusion that is what it is,0.582,0.583,0.589,0.566,0.564,0.544,0.582,24,0.0,0.7074074074074074,1
pushing those who love me away because i believe they would be better off without me,0.401,0.638,0.486,0.52,0.521,0.486,0.616,16,0.5,0.55,1
justin timberlake mirrors via,0.965,0.881,0.957,0.994,0.994,0.898,0.818,4,0.0,0.0,1
being so lonely you get angry and push people away because that makes sense,0.43,0.534,0.585,0.633,0.363,0.481,0.622,14,-0.3,0.85,1
reckless impulsive actions with the logic if something happens to me then maybe it is just meant to happen,0.607,0.599,0.525,0.678,0.574,0.759,0.581,19,0.0,0.0,1
this is these days,0.906,0.812,0.683,0.737,0.821,0.527,0.557,4,0.0,0.0,1
trying to become invisible while standing in one place,0.731,0.591,0.575,0.595,0.614,0.775,0.786,9,0.0,0.0,1
staying in bed all day shaking and crying because it seems like there is no point in doing anything,0.493,0.661,0.568,0.615,0.402,0.547,0.696,19,-0.2,0.6,1
having the upmost need to have everyone like me i must be understood and loved by everyone at all times,0.668,0.827,0.417,0.691,0.741,0.384,0.337,20,0.7,0.8,1
withdrawing from my freshman year of college receiving a 3 94 studying abroad junior year,0.824,0.71,0.859,0.87,0.924,0.78,0.804,15,0.0,0.0,1
being fine one minute and holding back the tears the next,0.595,0.689,0.659,0.786,0.777,0.78,0.571,11,0.1388888888888889,0.16666666666666666,1
being constantly tired and binge eating or not eating at all and distancing myself from everyone i love,0.49,0.728,0.639,0.6,0.621,0.474,0.762,18,0.04999999999999999,0.6499999999999999,1
a joke today i had someone say am always here for you then say stop feeling so damn sorry for yourself,0.483,0.754,0.585,0.723,0.56,0.634,0.613,21,-0.5,1.0,1
choosing to deal with my pain alone so that i do not run the risk of my sadness possibly hurting others,0.507,0.731,0.716,0.703,0.596,0.689,0.425,21,0.0,1.0,1
my ability to turn anything into sad poetry,0.746,0.704,0.73,0.669,0.705,0.706,0.734,8,-0.5,1.0,1
me reeeally not wanting anyone to worry whenever i can not hide it well enough amp people do worry i feel guilty,0.383,0.536,0.554,0.512,0.401,0.562,0.496,22,-0.25,0.75,1
privilege that i have a loving family willing to support me and help,0.819,0.744,0.699,0.959,0.856,0.599,0.679,13,0.425,0.85,1
a happy girl with no worries a planted smile a forced laugh a conjured chatter and a broken heart most days,0.59,0.671,0.559,0.751,0.705,0.692,0.791,21,0.20000000000000004,0.38333333333333336,1
smiling laughing amp fully loving even the littlest things bc that childlike wonder is what survives the sun in me,0.686,0.762,0.626,0.871,0.782,0.651,0.738,20,0.6,0.95,1
